|context|query
0|"4 2 3 2
2 2
----
"|"4 2 3 2

Just provide the two values."
1|"0 2 3 3
0 1
----
"|"0 2 3 3

Just provide the two values."
2|"1 1 0 0
1 1
----
"|"1 1 0 0

Just provide the two values."
3|"3 4 3 0
0 1
----
"|"3 4 3 0

Just provide the two values."
4|"4 3 2 3
1 2
----
"|"4 3 2 3

Just provide the two values."
5|"3 1 1 4
1 2
----
"|"3 1 1 4

Just provide the two values."
6|"4 0 4 0
2 2
----
"|"4 0 4 0

Just provide the two values."
7|"4 2 1 2
2 3
----
"|"4 2 1 2

Just provide the two values."
8|"2 3 3 0
0 1
----
"|"2 3 3 0

Just provide the two values."
9|"1 2 3 0
0 2
----
"|"1 2 3 0

Just provide the two values."
10|"0 3 0 1
0 1
----
"|"0 3 0 1

Just provide the two values."
11|"4 1 2 1
2 3
----
"|"4 1 2 1

Just provide the two values."
12|"1 4 2 0
0 3
----
"|"1 4 2 0

Just provide the two values."
13|"2 1 1 1
1 2
----
"|"2 1 1 1

Just provide the two values."
14|"4 1 1 2
3 3
----
"|"4 1 1 2

Just provide the two values."
15|"4 1 3 2
3 3
----
"|"4 1 3 2

Just provide the two values."
16|"0 3 2 0
0 1
----
"|"0 3 2 0

Just provide the two values."
17|"3 4 4 3
1 2
----
"|"3 4 4 3

Just provide the two values."
18|"2 4 3 2
1 2
----
"|"2 4 3 2

Just provide the two values."
19|"4 3 3 3
1 1
----
"|"4 3 3 3

Just provide the two values."
20|"0 2 0 3
0 1
----
"|"0 2 0 3

Just provide the two values."
21|"4 1 0 0
2 2
----
"|"4 1 0 0

Just provide the two values."
22|"2 1 1 2
2 2
----
"|"2 1 1 2

Just provide the two values."
23|"1 2 2 3
0 2
----
"|"1 2 2 3

Just provide the two values."
24|"2 1 4 1
2 3
----
"|"2 1 4 1

Just provide the two values."
25|"4 2 3 3
1 2
----
"|"4 2 3 3

Just provide the two values."
26|"4 3 2 1
1 3
----
"|"4 3 2 1

Just provide the two values."
27|"3 1 1 3
1 1
----
"|"3 1 1 3

Just provide the two values."
28|"0 0 2 2
1 1
----
"|"0 0 2 2

Just provide the two values."
29|"3 1 1 1
1 1
----
"|"3 1 1 1

Just provide the two values."
30|"4 3 0 4
1 2
----
"|"4 3 0 4

Just provide the two values."
31|"0 3 0 1
0 1
----
"|"0 3 0 1

Just provide the two values."
32|"4 1 0 2
3 3
----
"|"4 1 0 2

Just provide the two values."
33|"2 1 4 0
2 3
----
"|"2 1 4 0

Just provide the two values."
34|"1 4 4 3
1 3
----
"|"1 4 4 3

Just provide the two values."
35|"1 1 3 0
1 1
----
"|"1 1 3 0

Just provide the two values."
36|"2 3 2 0
0 1
----
"|"2 3 2 0

Just provide the two values."
37|"4 4 4 0
2 2
----
"|"4 4 4 0

Just provide the two values."
38|"1 0 1 4
0 2
----
"|"1 0 1 4

Just provide the two values."
39|"4 2 3 1
1 3
----
"|"4 2 3 1

Just provide the two values."
40|"2 3 0 4
0 2
----
"|"2 3 0 4

Just provide the two values."
41|"0 1 4 2
3 3
----
"|"0 1 4 2

Just provide the two values."
42|"3 1 2 2
2 2
----
"|"3 1 2 2

Just provide the two values."
43|"2 3 3 2
1 1
----
"|"2 3 3 2

Just provide the two values."
44|"0 2 1 3
0 2
----
"|"0 2 1 3

Just provide the two values."
45|"3 1 4 2
3 3
----
"|"3 1 4 2

Just provide the two values."
46|"4 2 3 4
1 3
----
"|"4 2 3 4

Just provide the two values."
47|"3 3 3 2
1 1
----
"|"3 3 3 2

Just provide the two values."
48|"2 1 0 3
1 2
----
"|"2 1 0 3

Just provide the two values."
49|"4 2 3 3
1 2
----
"|"4 2 3 3

Just provide the two values."
50|"1 3 4 3
1 2
----
"|"1 3 4 3

Just provide the two values."
51|"2 2 3 1
0 2
----
"|"2 2 3 1

Just provide the two values."
52|"4 1 0 2
3 3
----
"|"4 1 0 2

Just provide the two values."
53|"0 0 3 2
1 1
----
"|"0 0 3 2

Just provide the two values."
54|"1 2 3 2
1 2
----
"|"1 2 3 2

Just provide the two values."
55|"3 1 1 3
1 1
----
"|"3 1 1 3

Just provide the two values."
56|"1 4 3 3
0 2
----
"|"1 4 3 3

Just provide the two values."
57|"1 2 3 2
1 2
----
"|"1 2 3 2

Just provide the two values."
58|"1 2 3 3
0 2
----
"|"1 2 3 3

Just provide the two values."
59|"0 1 4 1
2 2
----
"|"0 1 4 1

Just provide the two values."
60|"4 3 4 1
2 3
----
"|"4 3 4 1

Just provide the two values."
61|"2 3 2 3
0 1
----
"|"2 3 2 3

Just provide the two values."
62|"0 1 2 1
1 2
----
"|"0 1 2 1

Just provide the two values."
63|"2 3 0 0
0 1
----
"|"2 3 0 0

Just provide the two values."
64|"0 4 4 1
1 3
----
"|"0 4 4 1

Just provide the two values."
65|"4 4 2 1
1 4
----
"|"4 4 2 1

Just provide the two values."
66|"3 4 3 4
0 2
----
"|"3 4 3 4

Just provide the two values."
67|"0 4 0 1
0 2
----
"|"0 4 0 1

Just provide the two values."
68|"2 2 1 2
1 2
----
"|"2 2 1 2

Just provide the two values."
69|"1 4 3 4
0 3
----
"|"1 4 3 4

Just provide the two values."
70|"2 1 1 2
2 2
----
"|"2 1 1 2

Just provide the two values."
71|"3 2 2 3
0 1
----
"|"3 2 2 3

Just provide the two values."
72|"3 3 1 3
0 1
----
"|"3 3 1 3

Just provide the two values."
73|"4 3 4 4
2 2
----
"|"4 3 4 4

Just provide the two values."
74|"0 4 0 0
0 1
----
"|"0 4 0 0

Just provide the two values."
75|"2 2 3 0
0 1
----
"|"2 2 3 0

Just provide the two values."
76|"3 1 0 4
1 2
----
"|"3 1 0 4

Just provide the two values."
77|"1 3 4 0
1 2
----
"|"1 3 4 0

Just provide the two values."
78|"4 2 3 1
1 3
----
"|"4 2 3 1

Just provide the two values."
79|"4 4 2 3
1 3
----
"|"4 4 2 3

Just provide the two values."
80|"2 3 0 0
0 1
----
"|"2 3 0 0

Just provide the two values."
81|"4 1 2 2
3 3
----
"|"4 1 2 2

Just provide the two values."
82|"3 0 2 2
1 1
----
"|"3 0 2 2

Just provide the two values."
83|"3 2 3 1
0 2
----
"|"3 2 3 1

Just provide the two values."
84|"2 0 4 0
1 2
----
"|"2 0 4 0

Just provide the two values."
85|"2 2 1 0
0 2
----
"|"2 2 1 0

Just provide the two values."
86|"4 0 0 1
1 2
----
"|"4 0 0 1

Just provide the two values."
87|"3 4 2 1
0 3
----
"|"3 4 2 1

Just provide the two values."
88|"4 4 3 3
1 2
----
"|"4 4 3 3

Just provide the two values."
89|"1 1 2 0
1 2
----
"|"1 1 2 0

Just provide the two values."
90|"2 2 0 0
0 1
----
"|"2 2 0 0

Just provide the two values."
91|"2 0 4 4
1 3
----
"|"2 0 4 4

Just provide the two values."
92|"3 1 3 1
1 1
----
"|"3 1 3 1

Just provide the two values."
93|"2 2 4 4
1 3
----
"|"2 2 4 4

Just provide the two values."
94|"3 3 1 0
0 1
----
"|"3 3 1 0

Just provide the two values."
95|"0 2 2 1
0 2
----
"|"0 2 2 1

Just provide the two values."
96|"4 0 3 3
1 1
----
"|"4 0 3 3

Just provide the two values."
97|"2 0 1 2
1 2
----
"|"2 0 1 2

Just provide the two values."
98|"1 0 2 2
1 2
----
"|"1 0 2 2

Just provide the two values."
99|"4 4 3 4
1 2
----
"|"4 4 3 4

Just provide the two values."
